Name,State,County,Acres,Start Date,Containment Date
National,Alaska,Yukon-Koyukuk,"15,381",June 30,October 3
Sushana River,Alaska,Denali,"1,261",June 27,October 9
Quinn Creek,Alaska,Bethel,"2,709",June 26,August 16
East Toklat,Alaska,Denali,"29,612",June 26,October 9
Gold King Creek,Alaska,Denali,"6,538",June 26,October 9
Globe,Alaska,Fairbanks North Star,"20,162",June 25,October 15
Grizzly,Alaska,Denali,"38,790",June 25,October 8
Iver,Alaska,Fairbanks North Star,"24,142",June 24,October 8
Slate,Alaska,Fairbanks North Star,"26,492",June 24,October 8
Main,Alaska,Yukon-Koyukuk,"28,147",June 23,September 16
Von Frank,Alaska,Yukon-Koyukuk,"1,682",June 22,August 16
Deep,Alaska,Yukon-Koyukuk,"24,882",June 22,October 8
Foraker,Alaska,Denali,"5,919",June 21,October 8
Clear,Alaska,Fairbanks North Star,"23,410",June 21,September 26
Naluk,Alaska,Northwest Arctic,"23,406",June 20,September 16
Noodor,Alaska,Yokun-Koyukuk,"13,798",June 20,October 2
Van Hatten,Alaska,Yukon-Koyukuk,"22,944",June 19,October 2
Midnight,Alaska,Yukon-Koyukuk,"50,550",June 19,September 26
Eightmile Creek,Alaska,Bethel,"4,379",June 18,August 16
South Fork George River,Alaska,Bethel,"7,991",June 18,August 16
Big Yetna River,Alaska,Yukon-Koyukuk,"4,273",June 18,August 16
Muskeg Creek,Alaska,Bethel,"1,000",June 17,August 19
Aniak River,Alaska,Bethel,"2,361",June 17,August 16
Owhat River,Alaska,Bethel,"1,390",June 17,August 16
Oskawalik River,Alaska,Bethel,"1,894",June 17,August 16
Lower Meadow Creek,Alaska,Yukon-Koyukuk,"6,577",June 17,August 16
American Creek,Alaska,Lake and Peninsula,"4,934",June 16,July 26
McDonald,Alaska,Fairbanks North Star,"153,729",June 8,September 26
Owl,Alaska,Yukon-Koyukuk,"15,963",June 8,September 26
Wood,Arizona,Pinal,"7,211",September 1,September 13
Refuge,Arizona,"Yuma, La Paz","1,042",May 25,July 10
Rocky,Arizona,Graham,"1,598",May 23,May 29
Wildcat,Arizona,Maricopa,"14,402",May 18,July 29
Toyo,Arizona,"Graham, Gila","1,779",May 10,May 24
Flying Bucket,Arizona,Maricopa,"2,795",May 6,unknown
Aubrey,Arizona,"Coconino, Yavapai","3,426",March 5,March 8
Lockett,Arizona,Coconino,"2,782",June 29,August 22
SCD - Boulder View,Arizona,Maricopa,"3,711",June 27,July 16
Sayer,Arizona,Coconino,"1,049",June 16,July 18
Foote,Arizona,Greenlee,"4,568",June 14,September 3
Top,Arizona,Gila,"3,292",June 9,June 18
Adams,Arizona,Maricopa,"5,029",June 2,July 13
Spring,Arizona,Maricopa,"4,041",June 1,June 18
Brushy,Arizona,Graham,"8,284",July 27,August 24
Summit,Arizona,Graham,"5,905",July 26,August 24
Sand Stone,Arizona,Maricopa,"27,390",July 25,August 22
Adessa,Arizona,Pinal,"1,424",July 24,August 11
Allen Trap,Arizona,Gila,"1,649",July 20,August 24
Apex,Arizona,Coconino,"2,989",July 14,August 5
Quail Springs,Arizona,Mohave,"1,508",July 13,August 4
Brown,Arizona,Pima,"1,423",July 11,August 20
Black,Arizona,"Maricopa, Gila","11,153",July 11,September 4
Watch,Arizona,"Graham, Gila","2,162",July 11,August 24
Buckhorn,Arizona,"Graham, Apache","1,006",July 10,August 10
Pius,Arizona,Coconino,"1,999",July 8,August 25
Weimer,Arizona,Coconino,"1,083",July 2,July 12
Long Gulch,Arizona,Yavapai,"1,227",August 31,September 23
Preacher,Arizona,Gila,"3,167",August 29,September 23
Element,Arizona,Mohave,"5,364",August 6,August 19
Bartlett,Arizona,Maricopa,"6,161",August 4,August 29
Clair,Arizona,Maricopa,"2,170",August 4,August 29
Sheep,Arizona,Gila,"2,483",August 4,September 3
Skeleton,Arizona,Yavapai,"24,034",August 3,August 24
Wolf,Arizona,Coconino,"9,872",April 29,July 26
Horton,Arizona,"Gila, Coconino","8,346",December 15,"February 4, 2025"
Vein,Arizona,"Pima, Santa Cruz","1,291",October 12,October 14
Flood,Arizona,Pinal,"4,400",October 9,October 16
Brigade,Arizona,Coconino,"1,812",September 21,October 9
Siphon,Arizona,Pinal,"15,527",September 10,September 27
Point,Arizona,Maricopa,"5,154",September 10,September 29
