,State,State_County,Start,End,Months,Num_Months
0,Alaska,Alaska_Bethel,June,August,"June, July, August, June, July, August, June, July, August, June, July, August, June, July, August, June, July, August, June, July, August",138
1,Alaska,Alaska_Denali,June,October,"June, July, August, September, October, June, July, August, September, October, June, July, August, September, October, June, July, August, September, October, June, July, August, September, October",198
2,Alaska,Alaska_FairbanksNorthStar,June,October,"June, July, August, September, October, June, July, August, September, October, June, July, August, September, October",118
3,Alaska,Alaska_FairbanksNorthStar,June,September,"June, July, August, September, June, July, August, September",60
4,Alaska,Alaska_LakeandPeninsula,June,July,"June, July",10
5,Alaska,Alaska_NorthwestArctic,June,September,"June, July, August, September",29
6,Alaska,Alaska_Yokun-Koyukuk,June,October,"June, July, August, September, October",38
7,Alaska,Alaska_Yukon-Koyukuk,June,August,"June, July, August, June, July, August, June, July, August",58
8,Alaska,Alaska_Yukon-Koyukuk,June,October,"June, July, August, September, October, June, July, August, September, October, June, July, August, September, October",118
9,Alaska,Alaska_Yukon-Koyukuk,June,September,"June, July, August, September, June, July, August, September, June, July, August, September",91
10,Arizona,Arizona_Coconino,April,July,"April, May, June, July",22
11,Arizona,Arizona_Coconino,July,August,"July, August, July, August",26
12,Arizona,Arizona_Coconino,July,July,['July'],1
13,Arizona,Arizona_Coconino,June,August,"June, July, August",18
14,Arizona,Arizona_Coconino,June,July,"June, July",10
15,Arizona,Arizona_Coconino,September,October,"September, October",18
16,Arizona,"Arizona_Coconino,Yavapai",March,March,['March'],1
17,Arizona,Arizona_Gila,August,September,"August, September, August, September",36
18,Arizona,Arizona_Gila,July,August,"July, August",12
19,Arizona,Arizona_Gila,June,June,['June'],1
20,Arizona,"Arizona_Gila,Coconino",December,February,unknown,7
21,Arizona,Arizona_Graham,July,August,"July, August, July, August",26
22,Arizona,Arizona_Graham,May,May,['May'],1
23,Arizona,"Arizona_Graham,Apache",July,August,"July, August",12
24,Arizona,"Arizona_Graham,Gila",July,August,"July, August",12
25,Arizona,"Arizona_Graham,Gila",May,May,['May'],1
26,Arizona,Arizona_Greenlee,June,September,"June, July, August, September",29
27,Arizona,Arizona_Maricopa,August,August,['August'],1
28,Arizona,Arizona_Maricopa,July,August,"July, August",12
29,Arizona,Arizona_Maricopa,June,July,"June, July, June, July",22
30,Arizona,Arizona_Maricopa,June,June,['June'],1
31,Arizona,Arizona_Maricopa,May,July,"May, June, July",15
32,Arizona,Arizona_Maricopa,September,September,['September'],1
