2022 National Rankings,Metropolitan Area,Total Score,Counties
1,Detroit MI,100.00,"Wayne County, Lapeer County, Livingston County, Macomb County, Oakland County, St. Clair County"
2,Cleveland OH,99.51,"Ashtabula County, Cuyahoga County, Geauga County, Lake County, Lorain County, Medina County"
3,Allentown PA,98.62,"Warren County NJ, Carbon County PA, Lehigh County PA, Northampton County PA"
4,Lakeland FL,97.72,Polk County
5,Fresno CA,91.36,"Fresno County, Madera County"
6,Charleston SC,90.18,"Berkeley County, Charleston County, Dorchester County"
7,Harrisburg PA,89.06,"Cumberland County, Dauphin County, Perry County"
8,Poughkeepsie NY,88.38,"Dutchess County, Orange County"
9,Philadelphia PA,87.50,"Bucks County, Chester County, Montgomery County, Delaware County, Philadelphia County, Burlington County NJ, Camden County NJ, Gloucester County NJ, New Castle County DE, Cecil County MD, Salem County NJ"
10,Baltimore MD,85.84,"Anne Arundel County, Baltimore County, Carroll County, Harford County, Howard County, Queen Anne's County, Baltimore city"
11,Columbus OH,85.55,"Delaware County, Fairfield County, Franklin County, Hocking County, Licking County, Madison County, Morrow County, Perry County, Pickaway County, Union County"
12,Richmond VA,83.49,"Amelia County, Charles City County, Chesterfield County, Dinwiddie County, Goochland County, Hanover County, Henrico County, King and Queen County, King William County, New Kent County, Powhatan County, Prince George County, Sussex County, Colonial Heights city, Hopewell city, Petersburg city, Richmond city"
13,Cape Coral FL,82.81,Lee County
14,St. Louis MO,82.23,"Bond County IL, Calhoun County IL, Clinton County IL, Jersey County IL, Macoupin County IL, Madison County IL, Monroe County IL, St. Clair County IL, Crawford County MO, Franklin County MO, Jefferson County MO, Lincoln County MO, St. Charles County MO, St. Louis County MO, Warren County MO, St. Louis city MO"
15,Orlando FL,81.60,"Lake County, Orange County, Osceola County, Seminole County"
16,Albany NY,81.39,"Albany County, Rensselaer County, Saratoga County, Schenectady County, Schoharie County"
17,Louisville KY,81.35,"Clark County IN, Floyd County IN, Harrison County IN, Washington County IN, Bullitt County KY, Henry County KY, Jefferson County KY, Meade County KY, Nelson County KY, Oldham County KY, Shelby County KY, Spencer County KY"
18,Greenville SC,79.73,"Anderson County, Greenville County, Laurens County, Pickens County"
19,Toledo OH,79.45,"Fulton County, Lucas County, Wood County"
20,Rochester NY,77.20,"Livingston County, Monroe County, Ontario County, Orleans County, Wayne County"
21,New York NY,76.95,"Bergen County NJ, Hudson County NJ, Passaic County NJ, Middlesex County NJ, Monmouth County NJ, Ocean County NJ, Somerset County NJ, Essex County NJ, Hunterdon County NJ, Morris County NJ, Sussex County NJ, Union County NJ, Bronx County NY, Kings County NY, New York County NY, Putnam County NY, Queens County NY, Richmond County NY, Rockland County NY, Westchester County NY, Nassau County NY, Suffolk County NY"
22,Miami FL,76.31,"Broward County, Miami-Dade County, Palm Beach County"
23,Wichita KS,75.79,"Butler County, Harvey County, Sedgwick County, Sumner County"
24,Dayton OH,75.62,"Greene County, Miami County, Montgomery County"
25,Spokane WA,74.64,"Spokane County, Stevens County"
26,Cincinnati OH,74.39,"Dearborn County IN, Franklin County IN, Ohio County IN, Boone County KY, Bracken County KY, Campbell County KY, Gallatin County KY, Grant County KY, Kenton County KY, Pendleton County KY, Brown County OH, Butler County OH, Clermont County OH, Hamilton County OH, Warren County OH"
27,Tucson AZ,74.22,Pima County
28,Chicago IL,74.03,"Cook County IL, DuPage County IL, Grundy County IL, McHenry County IL, Will County IL, DeKalb County IL, Kane County IL, Kendall County IL, Lake County IL, Jasper County IN, Lake County IN, Newton County IN, Porter County IN"
29,Indianapolis IN,73.99,"Boone County, Brown County, Hamilton County, Hancock County, Hendricks County, Johnson County, Madison County, Marion County, Morgan County, Shelby County, Tipton County"
30,Atlanta GA,73.79,"Barrow County, Butts County, Carroll County, Clayton County, Coweta County, Dawson County, DeKalb County, Douglas County, Fayette County, Forsyth County, Fulton County, Gwinnett County, Heard County, Henry County, Jasper County, Lumpkin County, Meriwether County, Morgan County, Newton County, Pickens County, Pike County, Rockdale County, Spalding County, Walton County, Bartow County, Cherokee County, Cobb County, Haralson County, Paulding County"
31,Jacksonville FL,73.48,"Baker County, Clay County, Duval County, Nassau County, St. Johns County"
32,Omaha NE,73.16,"Harrison County IA, Mills County IA, Pottawattamie County IA, Cass County NE, Douglas County NE, Sarpy County NE, Saunders County NE, Washington County NE"
33,Tampa FL,70.98,"Pinellas County, Hernando County, Hillsborough County, Pasco County"
34,Phoenix AZ,70.35,"Maricopa County, Pinal County"
35,New Orleans LA,69.80,"Jefferson Parish, Orleans Parish, Plaquemines Parish, St. Bernard Parish, St. Charles Parish, St. James Parish, St. John the Baptist Parish"
36,Palm Bay FL,68.77,Brevard County
37,Las Vegas NV,68.58,Clark County
38,McAllen TX,68.28,Hidalgo County
39,Columbia SC,68.16,"Calhoun County, Fairfield County, Kershaw County, Lexington County, Richland County, Saluda County"
40,San Antonio TX,67.95,"Atascosa County, Bandera County, Bexar County, Comal County, Guadalupe County, Kendall County, Medina County, Wilson County"
41,Stockton CA,67.53,San Joaquin County
42,Akron OH,67.37,"Portage County, Summit County"
43,Sacramento CA,66.61,"El Dorado County, Placer County, Sacramento County, Yolo County"
44,Nashville TN,65.97,"Cannon County, Cheatham County, Davidson County, Dickson County, Hickman County, Macon County, Maury County, Robertson County, Rutherford County, Smith County, Sumner County, Trousdale County, Williamson County, Wilson County"
45,Dallas TX,65.79,"Collin County, Dallas County, Denton County, Ellis County, Hunt County, Kaufman County, Rockwall County, Johnson County, Parker County, Tarrant County, Wise County"
46,Daytona Beach FL,65.37,"Flagler County, Volusia County"
47,Jackson MS,64.98,"Copiah County, Hinds County, Holmes County, Madison County, Rankin County, Scott County, Simpson County, Yazoo County"
48,Milwaukee WI,64.78,"Milwaukee County, Ozaukee County, Washington County, Waukesha County"
49,Baton Rouge LA,64.60,"Ascension Parish, Assumption Parish, East Baton Rouge Parish, East Feliciana Parish, Iberville Parish, Livingston Parish, Pointe Coupee Parish, St. Helena Parish, West Baton Rouge Parish, West Feliciana Parish"
50,Pittsburgh PA,64.42,"Allegheny County, Armstrong County, Beaver County, Butler County, Fayette County, Lawrence County, Washington County, Westmoreland County"
51,Sarasota FL,63.42,"Manatee County, Sarasota County"
52,Springfield MA,62.06,Hampden County
53,Kansas City MO,60.80,"Johnson County KS, Leavenworth County KS, Linn County KS, Miami County KS, Wyandotte County KS, Bates County MO, Caldwell County MO, Cass County MO, Clay County MO, Clinton County MO, Jackson County MO, Lafayette County MO, Platte County MO, Ray County MO"
54,Riverside CA,60.24,"Riverside County, San Bernardino County"
55,Minneapolis MN,59.76,"Anoka County MN, Carver County MN, Chisago County MN, Dakota County MN, Hennepin County MN, Isanti County MN, Le Sueur County MN, Mille Lacs County MN, Ramsey County MN, Scott County MN, Sherburne County MN, Washington County MN, Wright County MN, Pierce County WI, St. Croix County WI"
56,El Paso TX,59.69,"El Paso County, Hudspeth County"
57,Tulsa OK,59.68,"Creek County, Okmulgee County, Osage County, Pawnee County, Rogers County, Tulsa County, Wagoner County"
58,Providence RI,58.91,"Bristol County MA, Bristol County RI, Kent County RI, Newport County RI, Providence County RI, Washington County RI"
